Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,156947.39,50050.97,851500.00,799,0,580,0,470,0,296,0,15,0.8100257943379342,3492
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,306057.25,141838.69,991500.00,2114,0,427,0,4245,0,386,0,42,0.8166975000290893,4080
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,40277.04,49360.00,6964900.00,694,207,0,171,1198,69,276,10,23,0.8785545487700789,4116
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,161467.50,96685.67,7239600.00,1101,0,411,0,1132,0,464,0,31,0.8779641652905399,4068
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,63885.76,62510.00,10740700.00,993,260,0,365,1323,35,469,23,24,0.8718435748631844,5676
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,65979.01,63310.00,10710000.00,1011,103,0,323,1287,27,364,11,23,0.9268571837485606,5376
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,76584.88,54900.00,13374900.00,1018,159,0,344,1311,61,590,26,29,0.9300131621738605,6396
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,20864.20,10780.00,5979600.00,245,338,0,108,120,839,258,20,18,0.9179707111253576,2748
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,714845.79,0.00,0,367,0,126,0,222,0,174,6,0.992913688114646,1440
