Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
ef58ea08-d883-3957-8300-150554edc8fb,HEALTHALLIANCE HOSPITALS  INC,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,9784662000,2454.04,19
69176529-fd1f-3b3f-abce-a0a3626769eb,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,6174923500,23119.639999999978,179
5e765f2b-e908-3888-9fc7-df2cb87beb58,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,5082225200,21828.03999999998,169
e002090d-4e92-300e-b41e-7d1f21dee4c6,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,6176652300,1549.9200000000003,12
ef6ab57c-ed94-3dbe-9861-812d515918b3,CAPE COD HOSPITAL,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,5087711800,15111.719999999987,118
fbf6180e-b800-3ebe-b91d-93d0288c400e,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,4137730211,37223.90000000009,289
8b58cdd1-3d79-3126-8fe0-da2c54d6805c,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,6175062000,774.9599999999999,6
4bdaa4c2-c664-3089-aee2-7137abbad27f,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,5087659771,904.1199999999999,7
ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,5086745600,774.9599999999999,6
37b4d73f-652d-3033-a16e-d97b9e8b4cda,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,9784631000,11960.20999999999,93
37c0de84-bcaf-3624-82bf-a89b2ac441b8,BEVERLY HOSPITAL CORPORATION,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,-70.84496,9789223000,4133.119999999998,32
4861d01f-019c-3dac-a153-8334e50919f9,NORTH SHORE MEDICAL CENTER -,81 HIGHLAND AVENUE,SALEM,MA,01970,42.50128,-70.897502,9787411215,20407.27999999998,158
a0b6ec0c-e587-3b2a-bf9f-248849f29ee5,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,02135,42.33196,-71.020173,6177893000,904.1199999999999,7
4f3a530e-a2f7-3de0-9a09-c0a70a9ab894,BERKSHIRE MEDICAL CENTER INC - 1,725 NORTH STREET,PITTSFIELD,MA,01201,42.452045,-73.26054,4134472000,13949.279999999988,108
c44f361c-2efb-3050-8f97-0354a12e2920,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTER STREET,BROCKTON,MA,02302,42.082543,-71.024638,5089417000,27200.84999999997,227
331f4c11-d298-308b-aaa1-d7825b29b57f,CLINTON HOSPITAL ASSOCIATION,201 HIGHLAND STREET,CLINTON,MA,01510,42.411887,-71.690005,9783683000,11366.07999999999,88
b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,MA,02360,41.897892,-70.62403,5087462000,19890.63999999998,154
6be05ccf-ef94-341f-a2a3-1cf9bfde1b18,ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,WORCESTER,MA,01605,42.269478,-71.807783,5087999000,1291.6000000000001,10
b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL,295 VARNUM AVENUE,LOWELL,MA,01854,42.638893,-71.32210699999997,9789376000,9557.839999999993,74
fd328395-ab1d-35c6-a2d0-d05a9a79cf11,MERCY MEDICAL CTR,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,4137489000,16015.839999999986,124
d692e283-0833-3201-8e55-4f868a9c0736,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,MELROSE,MA,02176,42.455723,-71.05901899999998,7819793000,13432.639999999989,104
d78e84ec-30aa-3bba-a33a-f29a3a454662,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,02114,42.33196,-71.020173,6177262000,129.16,1
8ad64ecf-c817-3753-bee7-006a8e662e06,MORTON HOSPITAL,88 WASHINGTON STREET,TAUNTON,MA,02780,41.903323,-71.094984,5088287000,212623.18000000482,1655
23834663-ed53-3da9-b330-d6e1ecb8428e,SOUTHCOAST HOSPITAL GROUP  INC,363 HIGHLAND AVENUE,FALL RIVER,MA,02720,41.725351,-71.094162,5086793131,129.16,1
44bef9d3-91c2-3005-93e0-ccf436348ff0,MASSACHUSETTS EYE AND EAR INFIRMARY -,243 CHARLES STREET,BOSTON,MA,02114,42.33196,-71.020173,6175237900,1549.9200000000003,12
7fb56531-86bd-3e4a-8619-4df9942da309,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,NEEDHAM,MA,02494,42.281593,-71.242414,7814533002,7749.599999999994,60
03347b4d-994e-302b-848b-58019a4e274d,EMERSON HOSPITAL -,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,42.269478,-71.807783,9783691400,3099.8399999999992,24
cb6a50e0-af76-3758-99ad-3200ede03fff,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,02215,42.33196,-71.020173,6176677000,1549.9200000000003,12
9a7149fa-49fc-3c87-b935-d29c55808717,NEW ENGLAND BAPTIST HOSPITAL,125 PARKER HILL AVENUE,BOSTON,MA,02120,42.33196,-71.020173,6177545800,516.64,4
24cb4eab-6166-3530-bddc-a5a8a14a4fc1,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,MA,01757,42.158692,-71.521419,5084731190,4649.7599999999975,36
e44f438a-601b-30fb-85eb-bfaf8ddcb5ad,HEYWOOD HOSPITAL -,242 GREEN STREET,GARDNER,MA,01440,42.586516,-71.988062,9786323420,15060.049999999987,117
db0acede-4abe-3c01-8d03-5c68a190d8c7,SOUTH SHORE HOSPITAL,55 FOGG ROAD,SOUTH WEYMOUTH,MA,02190,42.24158900000001,-71.082651,7813408000,35389.84000000004,275
3d10019f-c88e-3de5-9916-6107b9c0263d,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,02462,42.331876,-71.208402,6172436000,84522.13000000142,668
f4e7709c-02f6-37ca-aeea-8247d74e88e7,WINCHESTER HOSPITAL,41 HIGHLAND AVENUE,WINCHESTER,MA,01890,42.452752,-71.144319,7817299000,3099.8399999999992,24
12c9daf5-a29c-36c9-ac55-28972463e566,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,199 REEDSDALE ROAD,MILTON,MA,02186,42.24158900000001,-71.082651,6176964600,47323.87000000029,390
27379046-608b-32f0-9df7-8c833cf5d11d,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,02115,42.33196,-71.020173,6177325500,1033.28,9
226098a2-6a40-3588-b5bb-db56c3a30a04,GOOD SAMARITAN MEDICAL CENTER,235 NORTH PEARL STREET,BROCKTON,MA,02301,42.082543,-71.024638,5084273000,33323.24999999999,261
b7175ab4-bde5-3848-891b-579bccb77c7c,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,02111,42.33196,-71.020173,6176365000,10591.119999999992,82
d733d4a9-080d-3593-b910-2366e652b7ea,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,02130,42.33196,-71.020173,6179837000,387.48,3
3bd5eda0-16da-3ba5-8500-4dfd6ae118b8,NORWOOD HOSPITAL,800 WASHINGTON STREET,NORWOOD,MA,02062,42.18736,-71.195955,5087721000,6070.519999999996,47
d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL,67 & 100 TER HEUN DRIVE,FALMOUTH,MA,02540,41.57072,-70.556682,5085485300,1162.44,9
f99c74cc-7d1a-3f95-9a33-4a9357bf2f2a,UMASS MEMORIAL MEDICAL CENTER INC,55 LAKE AVENUE NORTH,WORCESTER,MA,01655,42.269478,-71.807783,5083341000,2324.88,18
6f122869-a856-3d65-8db9-099bf4f5bbb8,LAHEY HOSPITAL & MEDICAL CENTER  BURLINGTON,41 & 45 MALL ROAD,BURLINGTON,MA,01803,42.503227,-71.201713,7817445100,12089.36999999999,94
1eaf97fa-9de6-38de-a9c4-6efe5dc574be,ST VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,01608,42.269478,-71.807783,5083635000,1420.7600000000002,11
956ccb85-bea0-30f9-af48-52f5dd95ff72,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,30 WARREN STREET,BRIGHTON,MA,02135,42.33196,-71.020173,6172543800,2066.5600000000004,16
